"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
62,666624,"Morel, Christopher",228,27.2,0.237,0.203,0.244,0.441,0.312,0.361,0.292,14,59,92.1,16.6,2318,88.5,88.66,9,57,5,0.20000000000000284,6.47,113,153,125,147,298,326,297,"-0.5","0.5"
62,624424,"Conforto, Michael",250,24.8,0.298,0.298,0.325,0.596,0.409,0.385,0.281,17,57,89.7,15.5,2248,89,89.36,8,52,10,0.4000000000000057,6.57,113,146,129,151,292,322,305,"-7.1","7.1"
62,682829,"De La Cruz, Elly",234,26.5,0.286,0.321,0.387,0.607,0.412,0.36,0.258,16,56,90.3,2.6,2182,89.5,89.7,15,50,12,0.20000000000000284,6.44,113,147,117,149,291,322,296,"-4.8","4.8"
62,669707,"Triolo, Jared",233,26.6,0.268,0.071,0.341,0.339,0.311,0.295,0.232,15,56,85.9,3.6,2239,89.2,89.56,8,50,12,0.3999999999999915,6.57,103,149,118,145,301,316,283,"-1.9","1.9"
62,686668,"Doyle, Brenton",236,26.3,0.288,0.237,0.4,0.525,0.368,0.283,0.236,17,59,87.4,2.6,2304,88.3,88.86,15,53,9,0.6000000000000085,6.51,106,152,113,147,305,321,288,"-3.3","3.3"
61,701538,"Merrill, Jackson",241,25.3,0.333,0.093,0.405,0.426,0.378,0.386,0.314,18,54,89.7,9.1,2115,88.8,88.66,9,52,9,-0.09999999999999432,6.44,118,145,115,151,279,314,304,"-3.4","3.4"
61,671739,"Harris II, Michael",207,29.5,0.316,0.193,0.39,0.509,0.381,0.35,0.311,18,57,91.8,4.2,2222,88.1,88.41,13,56,5,0.30000000000001137,6.56,118,146,114,151,291,324,301,"-4.5","4.5"
61,600869,"Candelario, Jeimer",244,25,0.182,0.145,0.257,0.327,0.256,0.222,0.174,10,55,87.5,12.4,2186,88.4,88.66,16,52,9,0.29999999999999716,6.4,115,148,126,150,289,320,292,"1.5","-1.5"
61,642350,"Siri, Jose",264,23.1,0.24,0.14,0.423,0.38,0.344,0.36,0.25,12,50,92.6,15,2279,89.9,90.23,20,47,14,0.29999999999999716,6.61,109,152,116,147,301,328,291,"-2.1","2.1"
61,668227,"Arozarena, Randy",247,24.7,0.196,0.125,0.231,0.321,0.265,0.311,0.235,11,56,92,11.1,2244,90,90.14,11,52,9,0.09999999999999432,6.5,107,151,123,147,307,330,294,"1.5","-1.5"
61,621020,"Swanson, Dansby",251,24.3,0.245,0.189,0.297,0.434,0.336,0.379,0.265,13,53,90.7,8.7,2243,89,89.14,10,49,12,0.09999999999999432,6.46,111,151,123,147,299,325,296,"0.7","-0.7"
61,665862,"Chisholm Jr., Jazz",259,23.6,0.208,0.17,0.273,0.377,0.312,0.321,0.216,11,53,85.8,10.5,2274,89.2,89.47,13,48,13,0.29999999999999716,6.54,115,146,118,152,296,321,301,"-1.1","1.1"
61,666182,"Bichette, Bo",240,25.4,0.214,0.125,0.244,0.339,0.279,0.281,0.228,12,56,86.5,8.4,2278,89.6,89.58,8,54,7,0,6.44,108,149,122,147,302,326,284,"0","0"
61,807799,"Yoshida, Masataka",257,23.7,0.255,0.091,0.283,0.345,0.308,0.321,0.262,14,55,88.6,7.9,2263,90.2,90.29,6,53,8,0.09999999999999432,6.43,112,145,127,150,283,321,305,"0.2","-0.2"
61,592192,"Canha, Mark",260,23.5,0.2,0.24,0.2,0.44,0.353,0.341,0.22,10,50,90.6,10.4,2260,89.8,88.35,8,46,15,-1.3999999999999915,6.52,110,151,121,147,300,323,288,"-2.6","2.6"
60,694497,"Carter, Evan",250,24,0.245,0.224,0.256,0.469,0.38,0.379,0.286,12,49,86.4,13.3,2220,88.3,88.12,5,46,14,-0.20000000000000284,6.31,110,146,117,151,294,320,296,"-0.4","0.4"
60,686469,"Pasquantino, Vinnie",245,24.5,0.231,0.154,0.222,0.385,0.314,0.319,0.256,12,52,89.7,9.9,2241,89.6,90.23,4,51,9,0.6000000000000085,6.6,119,144,124,149,301,325,306,"-0.4","0.4"
60,681546,"Outman, James",238,25.2,0.173,0.135,0.219,0.308,0.275,0.329,0.232,9,52,88.1,13.7,2252,89.1,89.16,14,48,12,0.10000000000000853,6.4,119,147,118,153,296,319,298,"3.2","-3.2"
60,571745,"Haniger, Mitch",249,24.1,0.264,0.151,0.324,0.415,0.344,0.332,0.252,14,53,84.9,11.1,2241,88.6,88.96,9,48,12,0.4000000000000057,6.53,105,153,120,146,298,320,290,"-4","4"
59,647304,"Naylor, Josh",184,32.1,0.347,0.327,0.325,0.673,0.461,0.425,0.332,17,49,90.4,14.6,2184,88.9,89.18,7,51,8,0.29999999999999716,6.38,114,144,123,151,290,319,299,"-3.9","3.9"
59,663898,"Rodgers, Brendan",221,26.7,0.211,0.105,0.279,0.316,0.245,0.254,0.217,12,57,87.5,8.1,2247,87.8,88.23,11,54,5,0.4000000000000057,6.42,109,150,119,146,304,320,287,"3.1","-3.1"
59,608336,"Gallo, Joey",275,21.5,0.14,0.24,0.182,0.38,0.294,0.294,0.156,7,50,91.2,42,2274,90.7,90.92,16,41,18,0.20000000000000284,6.51,119,144,121,150,293,318,297,"4","-4"
59,666181,"Benson, Will",250,23.6,0.22,0.28,0.321,0.5,0.366,0.327,0.227,11,50,90.5,12.4,2163,89.9,90.09,17,47,12,0.19999999999998863,6.46,119,145,125,150,290,323,296,"1.7","-1.7"
59,683734,"Vaughn, Andrew",243,24.3,0.189,0.038,0.256,0.226,0.238,0.281,0.225,10,53,89.9,15.1,2301,86.8,85.65,9,48,11,-1.2000000000000028,6.53,108,149,122,144,304,322,285,"3.2","-3.2"
59,643217,"Benintendi, Andrew",220,26.8,0.145,0.018,0.186,0.164,0.176,0.265,0.216,8,55,86.2,11.7,2251,88.6,87.71,11,54,5,-0.8999999999999915,6.58,118,145,117,150,284,315,298,"5.1","-5.1"
59,608324,"Bregman, Alex",211,28,0.241,0.093,0.289,0.333,0.29,0.285,0.232,13,54,88.3,21.3,2288,89.4,88.04,6,51,8,-1.4000000000000057,6.52,109,152,117,147,295,326,288,"0.9","-0.9"
58,543685,"Rendon, Anthony",245,23.7,0.231,0.038,0.279,0.269,0.261,0.276,0.207,12,52,88.4,22.4,2295,89.7,89.89,5,48,10,0.20000000000000284,6.51,109,152,121,145,303,322,292,"1.8","-1.8"
58,686217,"Frelick, Sal",217,26.7,0.308,0.038,0.4,0.346,0.335,0.309,0.27,16,52,85.2,4.2,2232,91,91.33,7,47,11,0.29999999999999716,6.52,117,145,112,150,286,316,292,"-3.5","3.5"
58,606115,"Arcia, Orlando",230,25.2,0.34,0.132,0.4,0.472,0.386,0.278,0.223,18,53,87.5,11.8,2308,88.9,89.28,8,53,5,0.3999999999999915,6.56,107,150,123,148,303,322,292,"-4.7","4.7"
58,669134,"Campusano, Luis",189,30.7,0.263,0.105,0.269,0.368,0.285,0.285,0.276,15,57,85,7.2,2208,88.4,88.36,4,57,1,0,6.43,112,151,124,148,296,318,293,"-0.1","0.1"
58,623912,"Ramírez, Harold",194,29.9,0.276,0.017,0.314,0.293,0.255,0.261,0.26,16,58,84.5,-1.6,2185,87.8,87.94,6,57,1,0.10000000000000853,6.44,108,152,122,148,305,328,290,"-1","1"
58,683146,"Baty, Brett",215,27,0.315,0.074,0.381,0.389,0.339,0.292,0.228,17,54,84.6,14,2210,88.3,88.39,9,52,6,0.10000000000000853,6.55,117,146,125,151,287,322,301,"-0.7","0.7"
57,669261,"Suwinski, Jack",226,25.2,0.196,0.137,0.2,0.333,0.268,0.294,0.228,10,51,85.7,20.5,2220,88.3,88.68,7,49,8,0.4000000000000057,6.52,118,145,118,149,288,316,300,"3.7","-3.7"
57,663538,"Hoerner, Nico",216,26.4,0.182,0.023,0.216,0.205,0.284,0.364,0.265,8,44,85.4,12.8,2144,90.1,90.34,6,43,14,0.20000000000000284,6.47,109,151,119,148,296,319,294,"3","-3"
