Player,metwOBA
elías díaz,0.4050828746181839
jake mccarthy,0.4044226794818576
luis rengifo,0.40361041367195266
taylor trammell,0.40305449408213156
j. p. crawford,0.40268738984627533
nathan lukes,0.4019238991814235
john rave,0.40063174328108253
drew gilbert,0.39987328884947276
christian koss,0.39963888523425395
ryan ritter,0.39890632039055324
henry davis,0.39880733285128356
andy ibáñez,0.39812967056214943
jose trevino,0.3971575787290719
josh smith,0.3953568723531252
blaze alexander,0.39380468879866004
josé tena,0.3935408814371986
alec bohm,0.393076789468084
cooper hummel,0.3927200447288258
jake meyers,0.3926731089164564
josé fermín,0.392109494871073
dane myers,0.39084409723497676
austin martin,0.39072125339061353
michael massey,0.38982059022073007
derek hill,0.3890763999856357
alex call,0.3886574707857458
nick loftin,0.38772357960397563
nick sogard,0.386264890222581
lane thomas,0.3847264783781111
brayan rocchio,0.3843828338957096
jonathan india,0.38436887445838036
dylan carlson,0.38427122048170614
caleb durbin,0.3824657770060863
tyler freeman,0.3814204869519993
andrés giménez,0.379970191348265
masyn winn,0.379849601909478
jonah heim,0.3798126314634556
robert hassell,0.3793424603856374
luis arráez,0.3781376183860559
mauricio dubón,0.3774842286338723
ezequiel duran,0.37737388202768446
mark canha,0.37702984361334974
alex freeland,0.3770013097549639
nick yorke,0.3765386282222078
anthony santander,0.3765053876093703
justin turner,0.37558044394187057
isaac collins,0.3750520505182398
myles straw,0.3733488701783176
parker meadows,0.3733282043766148
joey bart,0.3724104259822287
gio urshela,0.37240974112734454
nolan jones,0.3721300816984993
evan carter,0.3719859955635394
freddy fermin,0.3706367412154225
luis urías,0.36963432498310467
oswald peraza,0.3695180228015897
zack gelof,0.36913909540120976
drew waters,0.3662046630316665
brendan rodgers,0.3655646627151167
gavin lux,0.3646531755693587
kameron misner,0.36339579411726525
javier sanoja,0.36333446034393546
steven kwan,0.3623996103728172
denzel clarke,0.36062377227187165
bryce johnson,0.3604282611923498
kyle isbel,0.3604231155596855
chase meidroth,0.36020028970420714
joshua palacios,0.35993783699791576
tyrone taylor,0.3594789255952005
tj friedl,0.3590694564811507
keibert ruiz,0.35870535523481056
carlos santana,0.3586826198580336
richie palacios,0.3583406285330745
willie maciver,0.3582308618151382
chris taylor,0.355915380648713
thomas saggese,0.3553927179507807
david hamilton,0.3552473928815499
jake cronenworth,0.354270669770607
dj lemahieu,0.35385648754291255
xavier edwards,0.35258492135008473
jonatan clase,0.3511226652784311
kristian campbell,0.3497722160276079
chas mccormick,0.3488497227072454
donovan solano,0.3481862471747406
jorge barrosa,0.34801245912884177
matt vierling,0.34646755375683064
josé caballero,0.3462943640075451
graham pauley,0.3457322652254747
adam frazier,0.3428456013165236
thairo estrada,0.3407140773857487
jake mangum,0.3399213678262164
jake rogers,0.33975944527713986
víctor robles,0.3374545884099793
lamonte wade,0.33682771689634255
justyn-henry malloy,0.3339884299643442
alejandro osuna,0.33386462124077076
christian vázquez,0.33290639705304015
patrick bailey,0.3314919180508168
ben williamson,0.33064720920318325
kevin newman,0.3281361264750588
orlando arcia,0.32664285735734194
oswaldo cabrera,0.3263000508746757
tyler fitzgerald,0.3243382344656895
trey sweeney,0.32432680514657647
emmanuel rivera,0.32369301878601925
chandler simpson,0.32221239462665285
sam haggerty,0.3215728725364012
nacho alvarez,0.3206785090291631
alex verdugo,0.32049852119798017
austin hedges,0.3194635811898407
ke'bryan hayes,0.31913638376476156
brandon lockridge,0.31083528944138866
justin crawford,0.3102083715264128
edgar quero,0.3094136686432693
joey ortiz,0.30931922816712837
jose iglesias,0.30882817356947706
tyler heineman,0.30719182240843
tyler locklear,0.30699392973220596
connor joe,0.30695372873113785
darell hernaiz,0.30666169072226557
kyle karros,0.3046773876612808
max schuemann,0.3009989868204103
victor scott,0.2997831486618502
nick martini,0.2990592358308757
nate eaton,0.2955349638684345
johan rojas,0.29530272090472665
garrett mitchell,0.295253849750083
blake perkins,0.29437445106455984
will wagner,0.2891844032503434
miles mastrobuoni,0.2891229825761616
taylor walls,0.28854096678690383
drew millas,0.2874544138184895
alan roden,0.286778133345771
matt thaiss,0.2866989456517354
josh rojas,0.28498189792846296
isiah kiner-falefa,0.28488493028419604
jacob young,0.28333461710703206
vidal bruján,0.28069768661661154
nasim nuñez,0.28035664288192197
jorbit vivas,0.27681692646877043
rafael marchán,0.2741544904142615
santiago espinal,0.27394872971793527
bryce teodosio,0.2725685894954018
will wilson,0.2711153213857769
connor wong,0.2701026433428089
tristan peters,0.2647485250111615
hunter renfroe,0.2511936989530463
nick allen,0.2480259278936638
garrett hampson,0.24772928120592225
mickey gasper,0.22683365822144527
adael amador,0.22633233381728987
ben rortvedt,0.22570081758215893
leo rivas,0.22323789707765881
luisangel acuña,0.2222412237860625
josé herrera,0.21318849048751787
hunter feduccia,0.20799766523773475
tyler wade,0.2075512506443403
jonah bride,0.18938067662845806
vinny capra,0.187290032205617
jacob stallings,0.18279124622876408
